obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temperature,dpc_ctd_seawater_conductivity,salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3655735253,2,32.81100082,3724598776,3724598776,3655735253,0,internal_timestamp,576.6599731,820940,1446746452,4.740099907,3.281100082,34.22189532,1029.761101,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('1',)",3655735264,2,32.81710052,3724598776,3724598776,3655735264,0,internal_timestamp,575.3300171,823532,1446746463,4.749800205,3.281710052,34.21968374,1029.752022,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('2',)",3655735275,2,32.82970047,3724598776,3724598776,3655735275,0,internal_timestamp,573.4500122,814779,1446746474,4.769100189,3.282970047,34.21543296,1029.737598,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('3',)",3655735286,2,32.86380005,3724598776,3724598776,3655735286,0,internal_timestamp,571.1900024,818144,1446746485,4.817200184,3.286380005,34.20673358,1029.714289,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('4',)",3655735297,2,32.88990021,3724598776,3724598776,3655735297,0,internal_timestamp,568.8900146,821629,1446746496,4.855000019,3.288990021,34.19935576,1029.693122,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('5',)",3655735308,2,32.91329956,3724598776,3724598776,3655735308,0,internal_timestamp,566.5700073,825138,1446746507,4.887899876,3.291329956,34.19388287,1029.673975,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('6',)",3655735319,2,32.92869949,3724598776,3724598776,3655735319,0,internal_timestamp,564.4000244,830122,1446746518,4.910099983,3.292869949,34.19004493,1029.658157,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('7',)",3655735330,2,32.94589996,3724598776,3724598776,3655735330,0,internal_timestamp,562.2800293,821887,1446746529,4.936399937,3.294589996,34.18406791,1029.640357,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('8',)",3655735341,2,32.98680115,3724598776,3724598776,3655735341,0,internal_timestamp,560.0100098,825758,1446746540,4.998400211,3.298680115,34.16901603,1029.610154,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('9',)",3655735352,2,33.00659943,3724598776,3724598776,3655735352,0,internal_timestamp,557.8099976,818562,1446746551,5.027200222,3.300659943,34.16352256,1029.592031,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('10',)",3655735363,2,33.01350021,3724598776,3724598776,3655735363,0,internal_timestamp,555.5800171,823375,1446746562,5.036200047,3.301350021,34.1634017,1029.580536,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('11',)",3655735374,2,33.02930069,3724598776,3724598776,3655735374,0,internal_timestamp,553.539978,828155,1446746573,5.059100151,3.302930069,34.15924541,1029.564951,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('12',)",3655735385,2,33.03430176,3724598776,3724598776,3655735385,0,internal_timestamp,551.5800171,823434,1446746584,5.066400051,3.303430176,34.15853722,1029.55445,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('13',)",3655735396,2,33.04869843,3724598776,3724598776,3655735396,0,internal_timestamp,549.6699829,828450,1446746595,5.087100029,3.304869843,34.15494394,1029.540184,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('14',)",3655735407,2,33.06299973,3724598776,3724598776,3655735407,0,internal_timestamp,547.75,833105,1446746606,5.10890007,3.306299973,34.1501262,1029.524762,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('15',)",3655735418,2,33.0707016,3724598776,3724598776,3655735418,0,internal_timestamp,545.8099976,827088,1446746617,5.119599819,3.30707016,34.14904522,1029.51362,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('16',)",3655735429,2,33.0788002,3724598776,3724598776,3655735429,0,internal_timestamp,543.8900146,833429,1446746628,5.131000042,3.30788002,34.14769597,1029.502268,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('17',)",3655735440,2,33.08430099,3724598776,3724598776,3655735440,0,internal_timestamp,542.1599731,827665,1446746639,5.139100075,3.308430099,34.14662999,1029.492436,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('18',)",3655735451,2,33.08769989,3724598776,3724598776,3655735451,0,internal_timestamp,540.1300049,843163,1446746650,5.144999981,3.308769989,34.14554276,1029.481491,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
