obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3716913799,7,3.570339918,3742013811,3742013812,3716913799,0,internal_timestamp,75.30899811,1507924999,33.8091011,1,8.626999855,1026.591106,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('1',)",3716913799,7,3.570280075,3742013811,3742013812,3716913799,0,internal_timestamp,75.30699921,1507924999,33.80860138,0,8.626899719,1026.590721,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('2',)",3716913799,7,3.570319891,3742013811,3742013812,3716913799,0,internal_timestamp,75.30500031,1507924999,33.80870056,0,8.627300262,1026.590728,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('3',)",3716913799,7,3.570339918,3742013811,3742013812,3716913799,0,internal_timestamp,75.30899811,1507924999,33.80920029,0,8.626899719,1026.5912,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('4',)",3716913799,7,3.570280075,3742013811,3742013812,3716913799,0,internal_timestamp,75.30699921,1507924999,33.80830002,0,8.627300262,1026.590423,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('5',)",3716913799,7,3.570369959,3742013811,3742013812,3716913799,0,internal_timestamp,75.30500031,1507924999,33.8091011,0,8.62749958,1026.591011,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('6',)",3716913799,7,3.570509911,3742013811,3742013812,3716913799,0,internal_timestamp,75.30500031,1507924999,33.80989838,0,8.628100395,1026.591542,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('7',)",3716913799,7,3.570270061,3742013811,3742013812,3716913799,0,internal_timestamp,75.30500031,1507924999,33.80820084,0,8.627200127,1026.590352,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('8',)",3716913799,7,3.570260048,3742013811,3742013812,3716913799,0,internal_timestamp,75.30400085,1507924999,33.80799866,0,8.627300262,1026.590173,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('9',)",3716913799,7,3.570300102,3742013811,3742013812,3716913799,0,internal_timestamp,75.30599976,1507924999,33.80820084,0,8.627599716,1026.590294,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('10',)",3716913799,7,3.570369959,3742013811,3742013812,3716913799,0,internal_timestamp,75.30500031,1507924999,33.80849838,0,8.627900124,1026.590476,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('11',)",3716913799,7,3.570450068,3742013811,3742013812,3716913799,0,internal_timestamp,75.30500031,1507924999,33.80920029,0,8.628199577,1026.590979,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('12',)",3716913799,7,3.570509911,3742013811,3742013812,3716913799,0,internal_timestamp,75.30599976,1507924999,33.80970001,0,8.628299713,1026.59136,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('13',)",3716913800,7,3.570549965,3742013811,3742013812,3716913800,0,internal_timestamp,75.30400085,1507925000,33.81010056,0,8.628299713,1026.591664,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('14',)",3716913800,7,3.570559978,3742013811,3742013812,3716913800,0,internal_timestamp,75.30400085,1507925000,33.81029892,0,8.628299713,1026.59182,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('15',)",3716913800,7,3.570580006,3742013811,3742013812,3716913800,0,internal_timestamp,75.30599976,1507925000,33.81060028,0,8.628199577,1026.59208,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('16',)",3716913800,7,3.570600033,3742013811,3742013812,3716913800,0,internal_timestamp,75.30699921,1507925000,33.81069946,0,8.628199577,1026.592163,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('17',)",3716913800,7,3.570600033,3742013811,3742013812,3716913800,0,internal_timestamp,75.30500031,1507925000,33.81069946,0,8.628299713,1026.592138,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('18',)",3716913800,7,3.570600033,3742013811,3742013812,3716913800,0,internal_timestamp,75.30599976,1507925000,33.81069946,0,8.628399849,1026.592127,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
