obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temperature,dpc_ctd_seawater_conductivity,salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3771252089,5,33.17010117,3774706964,3774706966,3771252089,0,internal_timestamp,576.9899902,70699,1562263289,5.205800056,3.317010117,34.15965577,1029.654017,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('1',)",3771252109,5,33.18450165,3774706964,3774706966,3771252109,0,internal_timestamp,573.0700073,80427,1562263309,5.229499817,3.318450165,34.15400749,1029.628484,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('2',)",3771252129,5,33.1957016,3774706964,3774706966,3771252129,0,internal_timestamp,567.9199829,78588,1562263329,5.246900082,3.31957016,34.15171175,1029.600767,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('3',)",3771252149,5,33.2057991,3774706964,3774706966,3771252149,0,internal_timestamp,562.6900024,77643,1562263349,5.263800144,3.32057991,34.14870364,1029.572185,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('4',)",3771252169,5,33.24140167,3774706964,3774706966,3771252169,0,internal_timestamp,557.5100098,73871,1562263369,5.315999985,3.324140167,34.13898167,1029.533923,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('5',)",3771252189,5,33.25899887,3774706964,3774706966,3771252189,0,internal_timestamp,552.4099731,74456,1562263389,5.340400219,3.325899887,34.1368602,1029.505648,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('6',)",3771252209,5,33.2765007,3774706964,3774706966,3771252209,0,internal_timestamp,547.2299805,83666,1562263409,5.36619997,3.32765007,34.13324945,1029.475645,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('7',)",3771252229,5,33.30720139,3774706964,3774706966,3771252229,0,internal_timestamp,542.0700073,83877,1562263429,5.409900188,3.330720139,34.12653484,1029.44093,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('8',)",3771252249,5,33.37739944,3774706964,3774706966,3771252249,0,internal_timestamp,536.8300171,84079,1562263449,5.507999897,3.337739944,34.10975739,1029.390714,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('9',)",3771252269,5,33.5381012,3774706964,3774706966,3771252269,0,internal_timestamp,531.5499878,96113,1562263469,5.714000225,3.35381012,34.08669567,1029.320824,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('10',)",3771252289,5,33.54959869,3774706964,3774706966,3771252289,0,internal_timestamp,526.3400269,78552,1562263489,5.726099968,3.354959869,34.09007528,1029.297976,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('11',)",3771252309,5,33.60559845,3774706964,3774706966,3771252309,0,internal_timestamp,521.1199951,81419,1562263509,5.797399998,3.360559845,34.08414049,1029.259759,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('12',)",3771252329,5,33.68719864,3774706964,3774706966,3771252329,0,internal_timestamp,515.9000244,85712,1562263529,5.902100086,3.368719864,34.07346761,1029.213227,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('13',)",3771252349,5,33.74309921,3774706964,3774706966,3771252349,0,internal_timestamp,510.7099915,87809,1562263549,5.974299908,3.374309921,34.06644531,1029.174068,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('14',)",3771252369,5,33.75279999,3774706964,3774706966,3771252369,0,internal_timestamp,505.5,89544,1562263569,5.986800194,3.375279999,34.06736382,1029.14922,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('15',)",3771252389,5,33.75299835,3774706964,3774706966,3771252389,0,internal_timestamp,500.25,91082,1562263589,5.98789978,3.375299835,34.06905748,1029.126345,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
