obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3771517803,14,3.482389927,3779218460,3779218535,3771517803,0,internal_timestamp,68.8710022,1562529003,33.90060043,1,7.563799858,1026.79263,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('1',)",3771517803,14,3.482359886,3779218460,3779218535,3771517803,0,internal_timestamp,68.86799622,1562529003,33.90010071,0,7.56400013,1026.792195,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('2',)",3771517803,14,3.482310057,3779218460,3779218535,3771517803,0,internal_timestamp,68.86699677,1562529003,33.8995018,0,7.564099789,1026.791706,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('3',)",3771517803,14,3.482389927,3779218460,3779218535,3771517803,0,internal_timestamp,68.8710022,1562529003,33.90039825,0,7.56400013,1026.792443,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('4',)",3771517803,14,3.482359886,3779218460,3779218535,3771517803,0,internal_timestamp,68.86799622,1562529003,33.90000153,0,7.564099789,1026.792103,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('5',)",3771517803,14,3.482310057,3779218460,3779218535,3771517803,0,internal_timestamp,68.86799622,1562529003,33.8995018,0,7.564099789,1026.79171,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('6',)",3771517803,14,3.482359886,3779218460,3779218535,3771517803,0,internal_timestamp,68.86599731,1562529003,33.90000153,0,7.564199924,1026.792079,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('7',)",3771517803,14,3.48232007,3779218460,3779218535,3771517803,0,internal_timestamp,68.86699677,1562529003,33.89970016,0,7.56400013,1026.791876,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('8',)",3771517803,14,3.48229003,3779218460,3779218535,3771517803,0,internal_timestamp,68.8730011,1562529003,33.8993988,0,7.564099789,1026.791652,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('9',)",3771517803,14,3.48229003,3779218460,3779218535,3771517803,0,internal_timestamp,68.87000275,1562529003,33.89929962,0,7.564099789,1026.791561,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('10',)",3771517803,14,3.482310057,3779218460,3779218535,3771517803,0,internal_timestamp,68.86799622,1562529003,33.8993988,0,7.564199924,1026.791615,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('11',)",3771517803,14,3.482359886,3779218460,3779218535,3771517803,0,internal_timestamp,68.86599731,1562529003,33.89989853,0,7.56430006,1026.791984,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('12',)",3771517803,14,3.482429981,3779218460,3779218535,3771517803,0,internal_timestamp,68.86699677,1562529003,33.90050125,0,7.564400196,1026.792448,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('13',)",3771517803,14,3.482460022,3779218460,3779218535,3771517803,0,internal_timestamp,68.8710022,1562529003,33.90090179,0,7.564400196,1026.792781,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('14',)",3771517804,14,3.482480049,3779218460,3779218535,3771517804,0,internal_timestamp,68.86599731,1562529004,33.90110016,0,7.564400196,1026.792914,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('15',)",3771517804,14,3.482500076,3779218460,3779218535,3771517804,0,internal_timestamp,68.86799622,1562529004,33.90129852,0,7.564400196,1026.793079,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('16',)",3771517804,14,3.48251009,3779218460,3779218535,3771517804,0,internal_timestamp,68.86499786,1562529004,33.90129852,0,7.564499855,1026.793051,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('17',)",3771517804,14,3.482520103,3779218460,3779218535,3771517804,0,internal_timestamp,68.86599731,1562529004,33.90140152,0,7.564499855,1026.793136,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('18',)",3771517804,14,3.48251009,3779218460,3779218535,3771517804,0,internal_timestamp,68.86599731,1562529004,33.90129852,0,7.564499855,1026.793055,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('19',)",3771517804,14,3.482500076,3779218460,3779218535,3771517804,0,internal_timestamp,68.86699677,1562529004,33.90119934,0,7.564499855,1026.792982,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('20',)",3771517804,14,3.482490063,3779218460,3779218535,3771517804,0,internal_timestamp,68.86699677,1562529004,33.90110016,0,7.564499855,1026.792904,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('21',)",3771517804,14,3.482490063,3779218460,3779218535,3771517804,0,internal_timestamp,68.86499786,1562529004,33.90119934,0,7.564499855,1026.792973,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('22',)",3771517804,14,3.482500076,3779218460,3779218535,3771517804,0,internal_timestamp,68.86699677,1562529004,33.90119934,0,7.564499855,1026.792982,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('23',)",3771517804,14,3.482500076,3779218460,3779218535,3771517804,0,internal_timestamp,68.86699677,1562529004,33.90119934,0,7.564499855,1026.792982,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('24',)",3771517804,14,3.482490063,3779218460,3779218535,3771517804,0,internal_timestamp,68.86000061,1562529004,33.90119934,0,7.564499855,1026.79295,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('25',)",3771517805,14,3.482490063,3779218460,3779218535,3771517805,0,internal_timestamp,68.86199951,1562529005,33.90119934,0,7.564400196,1026.792973,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('26',)",3771517805,14,3.482490063,3779218460,3779218535,3771517805,0,internal_timestamp,68.86399841,1562529005,33.90119934,0,7.564400196,1026.792982,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('27',)",3771517805,14,3.482500076,3779218460,3779218535,3771517805,0,internal_timestamp,68.86199951,1562529005,33.90119934,0,7.564400196,1026.792973,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('28',)",3771517805,14,3.482500076,3779218460,3779218535,3771517805,0,internal_timestamp,68.85900116,1562529005,33.90129852,0,7.564499855,1026.793023,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('29',)",3771517805,14,3.48251009,3779218460,3779218535,3771517805,0,internal_timestamp,68.86000061,1562529005,33.90129852,0,7.564499855,1026.793028,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('30',)",3771517805,14,3.48251009,3779218460,3779218535,3771517805,0,internal_timestamp,68.85900116,1562529005,33.90119934,0,7.564499855,1026.792945,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('31',)",3771517805,14,3.48251009,3779218460,3779218535,3771517805,0,internal_timestamp,68.85800171,1562529005,33.90119934,0,7.564599991,1026.792926,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('32',)",3771517805,14,3.48251009,3779218460,3779218535,3771517805,0,internal_timestamp,68.85700226,1562529005,33.90110016,0,7.564599991,1026.792844,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('33',)",3771517805,14,3.48251009,3779218460,3779218535,3771517805,0,internal_timestamp,68.85299683,1562529005,33.90119934,0,7.564599991,1026.792903,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('34',)",3771517805,14,3.48251009,3779218460,3779218535,3771517805,0,internal_timestamp,68.85199738,1562529005,33.90129852,0,7.564599991,1026.792976,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('35',)",3771517805,14,3.482520103,3779218460,3779218535,3771517805,0,internal_timestamp,68.85600281,1562529005,33.90140152,0,7.564499855,1026.79309,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('36',)",3771517805,14,3.482539892,3779218460,3779218535,3771517805,0,internal_timestamp,68.85500336,1562529005,33.90169907,0,7.564400196,1026.793334,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
"('37',)",3771517805,14,3.482539892,3779218460,3779218535,3771517805,0,internal_timestamp,68.85500336,1562529005,33.90169907,0,7.564400196,1026.793334,29,13,29,29,29,29,29,13,29,13,44.63218,-124.30797
