obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3659299269,2,31.47170067,3746541021,3746541021,3659299269,0,internal_timestamp,2927.830078,779340,1450310468,1.716400027,3.147170067,34.64539063,1041.118981,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('1',)",3659299280,2,31.47019959,3746541021,3746541021,3659299280,0,internal_timestamp,2924.98999,783865,1450310479,1.716199994,3.147019959,34.64506805,1041.106175,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('2',)",3659299291,2,31.46879959,3746541021,3746541021,3659299291,0,internal_timestamp,2921.969971,790136,1450310490,1.715999961,3.146879959,34.6449528,1041.092731,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('3',)",3659299302,2,31.4673996,3746541021,3746541021,3659299302,0,internal_timestamp,2919.01001,792258,1450310501,1.715399981,3.14673996,34.64523596,1041.079924,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('4',)",3659299313,2,31.46590042,3746541021,3746541021,3659299313,0,internal_timestamp,2916.080078,784411,1450310512,1.715499997,3.146590042,34.64463853,1041.066457,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('5',)",3659299324,2,31.46570015,3746541021,3746541021,3659299324,0,internal_timestamp,2915.600098,796214,1450310523,1.715499997,3.146570015,34.6446138,1041.064311,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('6',)",3659299335,2,31.46549988,3746541021,3746541021,3659299335,0,internal_timestamp,2915.199951,794167,1450310534,1.715199947,3.146549988,34.64487172,1041.062783,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('7',)",3659299346,2,31.46439934,3746541021,3746541021,3659299346,0,internal_timestamp,2913,788834,1450310545,1.7148,3.146439934,34.64496001,1041.053161,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('8',)",3659299357,2,31.46319962,3746541021,3746541021,3659299357,0,internal_timestamp,2910.189941,807240,1450310556,1.714699984,3.146319962,34.64488868,1041.040664,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('9',)",3659299368,2,31.46209908,3746541021,3746541021,3659299368,0,internal_timestamp,2907.22998,795701,1450310567,1.71449995,3.146209908,34.64511512,1041.027749,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('10',)",3659299379,2,31.46050072,3746541021,3746541021,3659299379,0,internal_timestamp,2904.27002,789839,1450310578,1.714400053,3.146050072,34.64462369,1041.014258,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('11',)",3659299390,2,31.45919991,3746541021,3746541021,3659299390,0,internal_timestamp,2901.51001,797435,1450310589,1.71389997,3.145919991,34.64483191,1041.002259,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('12',)",3659299401,2,31.45940018,3746541021,3746541021,3659299401,0,internal_timestamp,2901.459961,791595,1450310600,1.71389997,3.145940018,34.64510105,1041.002247,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('13',)",3659299412,2,31.45919991,3746541021,3746541021,3659299412,0,internal_timestamp,2900.639893,797353,1450310611,1.714300036,3.145919991,34.64480755,1040.998322,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('14',)",3659299423,2,31.45800018,3746541021,3746541021,3659299423,0,internal_timestamp,2898.199951,793216,1450310622,1.71389997,3.145800018,34.64488605,1040.987624,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('15',)",3659299434,2,31.4564991,3746541021,3746541021,3659299434,0,internal_timestamp,2895.360107,798882,1450310633,1.713500023,3.14564991,34.64477906,1040.975008,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('16',)",3659299445,2,31.45529938,3746541021,3746541021,3659299445,0,internal_timestamp,2892.469971,804642,1450310644,1.713500023,3.145529938,34.64463993,1040.962084,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('17',)",3659299456,2,31.45400047,3746541021,3746541021,3659299456,0,internal_timestamp,2889.560059,831902,1450310655,1.713500023,3.145400047,34.64438836,1040.948983,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('18',)",3659299467,2,31.45260048,3746541021,3746541021,3659299467,0,internal_timestamp,2886.669922,806042,1450310666,1.713199973,3.145260048,34.64432327,1040.936159,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('19',)",3659299478,2,31.45120049,3746541021,3746541021,3659299478,0,internal_timestamp,2883.719971,802614,1450310677,1.713099957,3.145120049,34.64407308,1040.922895,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('20',)",3659299489,2,31.44980049,3746541021,3746541021,3659299489,0,internal_timestamp,2880.780029,798384,1450310688,1.713099957,3.144980049,34.64371204,1040.909573,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('21',)",3659299500,2,31.44860077,3746541021,3746541021,3659299500,0,internal_timestamp,2877.830078,804497,1450310699,1.712700009,3.144860077,34.64402797,1040.896793,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('22',)",3659299511,2,31.44739914,3746541021,3746541021,3659299511,0,internal_timestamp,2874.909912,816679,1450310710,1.712599993,3.144739914,34.64400864,1040.883839,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('23',)",3659299522,2,31.44630051,3746541021,3746541021,3659299522,0,internal_timestamp,2871.969971,808912,1450310721,1.712599993,3.144630051,34.64401881,1040.870804,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('24',)",3659299533,2,31.44529915,3746541021,3746541021,3659299533,0,internal_timestamp,2869.060059,806046,1450310732,1.712700009,3.144529915,34.64402839,1040.857886,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('25',)",3659299544,2,31.44389915,3746541021,3746541021,3659299544,0,internal_timestamp,2866.110107,804567,1450310743,1.712599993,3.144389915,34.64377996,1040.844618,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('26',)",3659299555,2,31.44249916,3746541021,3746541021,3659299555,0,internal_timestamp,2863.169922,813221,1450310754,1.712200046,3.144249916,34.6438468,1040.831683,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('27',)",3659299566,2,31.44129944,3746541021,3746541021,3659299566,0,internal_timestamp,2860.25,812144,1450310765,1.712000012,3.144129944,34.64393774,1040.818827,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('28',)",3659299577,2,31.43980026,3746541021,3746541021,3659299577,0,internal_timestamp,2857.330078,814694,1450310776,1.711599946,3.143980026,34.64387403,1040.805879,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('29',)",3659299588,2,31.43860054,3746541021,3746541021,3659299588,0,internal_timestamp,2854.360107,815272,1450310787,1.711300015,3.143860054,34.6440952,1040.792915,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('30',)",3659299599,2,31.43740082,3746541021,3746541021,3659299599,0,internal_timestamp,2851.429932,812057,1450310798,1.711699963,3.143740082,34.64355261,1040.779426,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('31',)",3659299610,2,31.43630028,3746541021,3746541021,3659299610,0,internal_timestamp,2848.540039,808387,1450310809,1.711400032,3.143630028,34.64385918,1040.766883,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
