obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3723303903,8,3.615750074,3742914163,3742914163,3723303903,0,internal_timestamp,75.53099823,1514315103,33.05730057,1,9.93239975,1025.793745,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('1',)",3723303903,8,3.61571002,3742914163,3742914163,3723303903,0,internal_timestamp,75.53099823,1514315103,33.05709839,0,9.932299614,1025.793604,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('2',)",3723303903,8,3.615240097,3742914163,3742914163,3723303903,0,internal_timestamp,75.52400208,1514315103,33.05239868,0,9.932100296,1025.78994,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('3',)",3723303903,8,3.615750074,3742914163,3742914163,3723303903,0,internal_timestamp,75.53099823,1514315103,33.05749893,0,9.932299614,1025.793917,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('4',)",3723303903,8,3.61571002,3742914163,3742914163,3723303903,0,internal_timestamp,75.53099823,1514315103,33.05720139,0,9.932100296,1025.793718,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('5',)",3723303903,8,3.614459991,3742914163,3742914163,3723303903,0,internal_timestamp,75.52500153,1514315103,33.04430008,0,9.932299614,1025.783593,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('6',)",3723303903,8,3.614919901,3742914163,3742914163,3723303903,0,internal_timestamp,75.52600098,1514315103,33.0489006,0,9.93239975,1025.78717,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('7',)",3723303903,8,3.615099907,3742914163,3742914163,3723303903,0,internal_timestamp,75.52400208,1514315103,33.05099869,0,9.932200432,1025.788831,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('8',)",3723303903,8,3.614749908,3742914163,3742914163,3723303903,0,internal_timestamp,75.52899933,1514315103,33.04729843,0,9.932200432,1025.785967,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('9',)",3723303903,8,3.614550114,3742914163,3742914163,3723303903,0,internal_timestamp,75.53099823,1514315103,33.04520035,0,9.932299614,1025.784323,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('10',)",3723303903,8,3.614579916,3742914163,3742914163,3723303903,0,internal_timestamp,75.52500153,1514315103,33.04560089,0,9.932299614,1025.784608,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('11',)",3723303903,8,3.614779949,3742914163,3742914163,3723303903,0,internal_timestamp,75.52600098,1514315103,33.04750061,0,9.93239975,1025.786078,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('12',)",3723303903,8,3.61500001,3742914163,3742914163,3723303903,0,internal_timestamp,75.52300262,1514315103,33.04970169,0,9.93239975,1025.787781,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('13',)",3723303903,8,3.615119934,3742914163,3742914163,3723303903,0,internal_timestamp,75.52100372,1514315103,33.05089951,0,9.93239975,1025.788706,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('14',)",3723303904,8,3.615149975,3742914163,3742914163,3723303904,0,internal_timestamp,75.52600098,1514315104,33.05120087,0,9.93239975,1025.788964,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('15',)",3723303904,8,3.615170002,3742914163,3742914163,3723303904,0,internal_timestamp,75.52100372,1514315104,33.05139923,0,9.93239975,1025.789096,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('16',)",3723303904,8,3.615170002,3742914163,3742914163,3723303904,0,internal_timestamp,75.52200317,1514315104,33.05139923,0,9.932499886,1025.789084,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('17',)",3723303904,8,3.615180016,3742914163,3742914163,3723303904,0,internal_timestamp,75.51799774,1514315104,33.05149841,0,9.932499886,1025.789143,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('18',)",3723303904,8,3.615200043,3742914163,3742914163,3723303904,0,internal_timestamp,75.51899719,1514315104,33.05170059,0,9.932499886,1025.789305,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('19',)",3723303904,8,3.615210056,3742914163,3742914163,3723303904,0,internal_timestamp,75.51899719,1514315104,33.05179977,0,9.932499886,1025.789383,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('20',)",3723303904,8,3.615200043,3742914163,3742914163,3723303904,0,internal_timestamp,75.52200317,1514315104,33.05170059,0,9.932499886,1025.789319,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('21',)",3723303904,8,3.615180016,3742914163,3742914163,3723303904,0,internal_timestamp,75.51799774,1514315104,33.05139923,0,9.932499886,1025.789066,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('22',)",3723303904,8,3.615159988,3742914163,3742914163,3723303904,0,internal_timestamp,75.51799774,1514315104,33.05120087,0,9.932499886,1025.788911,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('23',)",3723303904,8,3.615170002,3742914163,3742914163,3723303904,0,internal_timestamp,75.51699829,1514315104,33.05120087,0,9.932600021,1025.78889,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
